District/Area *,School/Building *,School/Building Code,Class *,Code,First Name *,Last Name *,Middle Name,Unique Student ID *,Date of Birth *,Gender *,Grade *,Active User,Additional ID Number,Ethnicity-Hispanic or Latino,Race-American Indian or Alaska Native,Race-Asian,Race-Black or African American,Race-Native Hawaiian or Other Pacific Islander,Race-White,Program Code-Free/Reduced-Price Lunch,Program Code-ELL,Program Code-Migrant Student,Program Code-Section 504,Program Code-Gifted Talented,Program Code-Title I Language,Program Code-IEP,Program Code-SE,Program Code-Title I Math,Program Code-Other 1,Program Code-Other 2,Braille,Office Use-Z,Office Use-1,Office Use-2,Office Use-3,Office Use-4,Office Use-5,Office Use-6,Office Use-7,Office Use-8,Office Use-9,Office Use-10,Office Use-11,Office Use-12,Office Use-V,Office Use-Q,Office Use-N,Test Admin-A,Test Admin-B,Test Admin-C,Test Admin-D,Test Admin-E,Test Admin-F,Test Admin-G,Test Admin-H,Test Admin-I,Test Admin-J,Test Admin-K,Test Admin-L,Test Admin-M,Test Admin-N,Admin Code-A,Admin Code-B,Admin Code-C,Admin Code-D,Admin Code-E,Admin Code-F,Admin Code-G,Admin Code-H,Admin Code-I,Admin Code-J,Admin Code-K,Admin Code-L,Admin Code-M,Admin Code-N,Admin Code-O,Admin Code-P,Admin Code-Q,Admin Code-R,Admin Code-S,Admin Code-T,Home Reporting
Apex,Apex High School,,Class 5,,Krystal,Hills,,APX001,07/30/2013,F,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 0,,Beth,Kohler,,APX002,11/28/2008,M,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 2,,Marshall,Welch,,APX003,08/09/2010,F,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 11,,Anna,Conn,,APX004,11/22/2019,F,11,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 3,,Elaina,Price,,APX005,03/01/2011,M,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 4,,Freddie,Terry,,APX006,06/15/2012,M,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 11,,Coby,Gottlieb,,APX007,01/23/2019,F,11,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 10,,Jennie,Carroll,,APX008,11/15/2018,M,10,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 6,,Damian,Stroman-Ward,,APX009,02/02/2014,F,6,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 8,,Kane,Murray,,APX010,10/31/2016,F,8,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 4,,Ara,Mraz,,APX011,05/15/2012,M,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 5,,Myrtis,Pacocha,,APX012,02/24/2013,F,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 2,,Gabriel,Douglas-Heathcote,,APX013,09/12/2010,M,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 3,,Lexus,Kreiger,,APX014,11/17/2011,F,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 6,,Marina,Lubowitz,,APX015,09/16/2014,F,6,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 0,,Ursula,Kilback-Rempel,,APX016,11/20/2008,F,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 4,,Linwood,King,,APX017,05/05/2012,F,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 5,,Lou,Graham,,APX018,06/19/2013,M,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 12,,Nels,Grady,,APX019,09/07/2020,M,12,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 1,,Jett,Berge,,APX020,03/03/2009,F,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 7,,Tyrel,Harris-Hegmann,,APX021,01/16/2015,F,7,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 8,,Neil,Yost,,APX022,06/09/2016,F,8,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 0,,Cordell,Lowe,,APX023,11/09/2008,F,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 1,,Fanny,Cronin-Kiehn,,APX024,03/20/2009,F,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 4,,Sigurd,Grady,,APX025,07/27/2012,M,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 9,,Miller,Gusikowski,,APX026,11/15/2017,M,9,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 10,,Guiseppe,Wiegand,,APX027,02/12/2018,M,10,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 8,,Aric,Daniel,,APX028,03/23/2016,F,8,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 10,,Kailey,Koepp,,APX029,05/09/2018,M,10,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 9,,Kayli,Kuvalis,,APX030,01/07/2017,M,9,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 6,,Cleora,Keebler,,APX031,01/18/2014,M,6,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 9,,Candida,O'Conner,,APX032,02/17/2017,M,9,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 4,,Clotilde,Rosenbaum,,APX033,06/11/2012,F,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 3,,Cristopher,Rempel,,APX034,12/12/2011,M,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 4,,Tamia,Kirlin,,APX035,01/12/2012,F,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 4,,Josiane,Schiller,,APX036,11/06/2012,F,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 12,,Adrienne,Durgan,,APX037,02/06/2020,M,12,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 8,,Cassidy,Towne,,APX038,01/02/2016,M,8,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex,Apex High School,,Class 4,,Jarrod,Weimann,,APX039,10/01/2012,M,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
